S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
,Q1,MMPO262700210,Close,June,,23/6/2026,1400800176,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG coated cu foil single side 102Ah,NOT FOR EPR,Bengaluru,South,310,310,₹ 355.30,"110,143.00","129,968.74","132,568.11",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,23/6/2026,1400800176,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Jelly Stack - LFP-102Ah,NOT FOR EPR,Bengaluru,South,"3,450.00","3,450.00",₹ 175.80,"606,510.00","715,681.80","729,995.44",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
109,Q1,MMPO262700256,Close,June,,25/6/2026,INV-TB-000012,Terrabat Green Private Limited,Fresh Purchase,Recycling,NMC,FOR EPR,Bengaluru,South,"1,040.00","1,040.00",₹ 270.00,"280,800.00","331,344.00",,,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700256,Close,June,,25/6/2026,INV-TB-000012,Terrabat Green Private Limited,Fresh Purchase,Recycling,LFP,FOR EPR,Bengaluru,South,5,5,₹ 40.00,200,236,,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
110,Q1,MMPO262700259,Close,June,,23/6/2026,GCT/TX/26-27/026,Grenergcore tech (OPC) Private Limited,Fresh Purchase,Second Life,NMC 18650,NOT FOR EPR,Maharastra,South,530,530,₹ 160.00,"84,800.00","100,064.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700259,Close,June,,23/6/2026,GCT/TX/26-27/026,Grenergcore tech (OPC) Private Limited,Fresh Purchase,Recycling,LFP Cells,NOT FOR EPR,Maharastra,South,60,60,₹ 30.00,"1,800.00","2,124.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
111,Q1,MMPO262700257,Close,June,,24/6/2026,RTCXFC2627171,RTCXFC INDUSTRIES PVT. LTD.,Fresh Purchase,Second Life,NMC 21700,NOT FOR EPR,Maharastra,South,122,122,₹ 220.00,"26,840.00","31,671.20",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700257,Close,June,,24/6/2026,RTCXFC2627171,RTCXFC INDUSTRIES PVT. LTD.,Fresh Purchase,Second Life,LFP Cells,NOT FOR EPR,Maharastra,South,136,136,₹ 60.00,"8,160.00","9,628.80",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700257,Close,June,,24/6/2026,RTCXFC2627171,RTCXFC INDUSTRIES PVT. LTD.,Fresh Purchase,Second Life,LFP 32700,NOT FOR EPR,Maharastra,South,"4,521.00",657.8,₹ 45.00,"203,445.00","240,065.10",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
112,Q1,MMPO262700210,Close,June,,25/6/2026,1400800180,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Jelly Roll-NCM_5Ah,FOR EPR,Banglore,South,380,380,₹ 693.00,"263,340.00","310,741.20",316956.024,,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,25/6/2026,1400800180,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NMC NG cell with electrolyte 5ah,FOR EPR,Banglore,South,970,970,₹ 520.62,"505,001.40","595,901.65",607819.685,,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,25/6/2026,1400800180,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Jelly Stack - LFP-102Ah,FOR EPR,Banglore,South,"2,080.00","2,080.00",₹ 175.82,"365,705.60","431,532.61",440163.2602,,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,25/6/2026,1400800179,Exide Energy Solutions Limited,Fresh Purchase,Recycling,LFP NG cell with electrolyte 106 Ah,FOR EPR,Banglore,South,310,310,₹ 111.52,"34,571.20","40,794.02",41609.89632,,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,25/6/2026,1400800181,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Anode Electrode LFP 102Ah,FOR EPR,Banglore,South,860,860,₹ 238.16,"204,817.60","241,684.77",246518.4634,,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
113,Q1,MMPO262700268,Close,June,,27/6/2026,PRPL/051/26-27,Prakruthi Recycling Pvt Ltd,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,karnataka,South,270,270,₹ 180.00,"48,600.00","57,348.00",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
114,Q1,,Close,June,,29/6/2026,MST/PI/26-27/002,Maruti Suzuki Toyotsu India Private Limited,Fresh Purchase,Recycling,LFP Packs,FOR EPR,UP,North,"2,842.00","2,842.00",₹ 105.91,"300,996.22","355,175.54",362279.0504,,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,Registered Producer,,,,,,,,,,,
115,Q1,MMPO262700265,Open,June,,29/6/2026,PI42406,LIMACPOWER TECH,Fresh Purchase,Recycling,NMC,NOT FOR EPR,Kerala,South,196,196,₹ 230.00,"45,080.00","53,194.40",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700265,Open,June,,29/6/2026,PI42406,LIMACPOWER TECH,Fresh Purchase,Recycling,LFP Cells,NOT FOR EPR,Kerala,South,638,638,₹ 40.00,"25,520.00","30,113.60",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
116,Q1,MMPO262700267,Close,June,,27/6/2026,INV-2505- 2/26-27,Shrinivas Hanmant More,Fresh Purchase,Second Life,NMC Modules,NOT FOR EPR,Maharastra,South,126,126,₹ 200.00,"25,200.00","29,736.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
117,Q1,MMPO262700270,Open,June,,26/6/2026,76144149,Exicom Energy Systems Private Limited,Fresh Purchase,Second Life,LFP Prismatic cells,FOR EPR,Harayana,North,393,786,"₹ 1,650.00","648,450.00","765,171.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700270,Open,June,,26/6/2026,76144149,Exicom Energy Systems Private Limited,Fresh Purchase,Second Life,NMC 26650,FOR EPR,Harayana,North,"4,842.00",412,₹ 28.00,"135,576.00","159,979.68",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700270,Open,June,,26/6/2026,76144150,Exicom Energy Systems Private Limited,Fresh Purchase,Second Life,NMC 18650,FOR EPR,Harayana,North,"8,298.00",400,₹ 68.00,"564,264.00","665,831.52",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700270,Open,June,,26/6/2026,76144149,Exicom Energy Systems Private Limited,Fresh Purchase,Second Life,LFP 32700,FOR EPR,Harayana,North,"4,168.00",605,₹ 48.00,"200,064.00","236,075.52",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
118,Q1,MMPO262700271,Open,June,,26/6/2026,76144160,Exicom Tele-Systems Limited,Fresh Purchase,Second Life,LFP Prismatic cells,FOR EPR,Telangana,South,342,684,"₹ 1,650.00","564,300.00","665,874.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700271,Open,June,,26/6/2026,76144160,Exicom Tele-Systems Limited,Fresh Purchase,Second Life,LFP 33140,FOR EPR,Telangana,South,"3,434.00","1,030.00",₹ 250.00,"858,500.00","1,013,030.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
119,Q1,MMPO262700272,Close,June,,26/6/2026,93000732,Greaves Electric Mobility Limited,Fresh Purchase,Second Life,NMC,FOR EPR,Tamil Nadu,South,70.8,70.8,₹ 140.00,"9,912.00","11,696.16",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,,,,,,,,,,,,,,,466615.21,"291,433.00",,,,,,,,,,,,,,,,,,,,,,,,
