S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
24,Q1,MMPO262700043,Close,April,,16/4/2026,4100584608,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,North,"1,979.60","1,979.60",₹ 120.00,"237,552.00","280,311.36","285,917.59",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700043,Close,April,,16/4/2026,4100584608,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,North,"4,965.16","4,965.16",₹ 120.00,"595,819.20","703,066.66","717,127.99",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
25,Q1,MMPO262700046,Close,April,,17/4/2026,4/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,New Delhi,North,"1,665.00","1,665.00",₹ 995.00,"1,656,675.00","1,954,876.50","1,993,974.03",,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
26,Q1,MMPO262700047,Close,April,,17/4/2026,PDRL/26-27/005,PDRL,Fresh Purchase,Recycling,LiPo,FOR EPR,Maharastra,North,48,48.00,₹ 220.00,"10,560.00","12,460.80","12,710.02",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
27,Q1,MMPO262700048,Close,April,,18/4/2026,5/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,West Bengal,North,"3,330.00","3,330.00",₹ 945.00,"3,146,850.00","3,713,283.00","3,787,548.66",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,,Close,April,,18/4/2026,5/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,West Bengal,North,"5,680.00","5,680.00",₹ 745.00,"4,231,600.00","4,993,288.00","5,093,153.76",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
28,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,LCO,FOR EPR,Jaipur,North,"5,238.40","5,238.40",₹ 800.00,"4,190,720.00","4,945,049.60","5,043,950.59",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Second Life,NMC,FOR EPR,Jaipur,North,846.4,846.40,₹ 407.00,"344,484.80","406,492.06","414,621.91",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,LCO,FOR EPR,Jaipur,North,"2,142.20","2,142.20",₹ 780.00,"1,670,916.00","1,971,680.88","2,011,114.50",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Jaipur,North,"2,463.00","2,463.00",₹ 360.00,"886,680.00","1,046,282.40","1,067,208.05",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,,,,,,,,,,,,
29,Q1,MMPO262700051,Close,April,,21/4/2026,4100591863,Ola Electric Technologies Private Ltd,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,"4,266.72","4,266.72",₹ 120.00,"512,006.40","604,167.55","616,250.90",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
30,Q1,MMPO262700052,Close,April,,21/4/2026,98074260,Greaves Electric Mobility Limited,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,136.5,136.50,₹ 140.00,"19,110.00","22,549.80","23,000.80",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
31,Q1,,Close,April,,21/4/2026,INV-26-27-033,Dream Fly Innovation,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Bengaluru,South,406,406.00,₹ 170.00,"69,020.00","81,443.60","83,072.47",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
32,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr001,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"5,140.00","5,140.00",₹ 386.92,"1,988,768.80","2,346,747.18","2,393,682.13",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
